# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.642980292190e-01       3.347152667296e+02 
       4.670447108292e-01       3.304868180983e+02 
       4.697913925890e-01       3.263304188522e+02 
       4.725380744959e-01       3.222447250428e+02 
       4.752847565472e-01       3.182331761723e+02 
       4.780314387405e-01       3.143085189785e+02 
       4.807781210733e-01       3.104685713108e+02 
       4.835248035432e-01       3.067091675111e+02 
       4.862714861479e-01       3.030304088408e+02 
       4.890181688852e-01       2.994234293549e+02 
       4.917648517527e-01       2.958894841012e+02 
       4.945115347484e-01       2.924228843862e+02 
       4.972582178701e-01       2.890210655786e+02 
       5.000049011157e-01       2.856812759066e+02 
       5.027515844831e-01       2.823958799431e+02 
       5.054982679704e-01       2.791581254292e+02 
       5.082449515757e-01       2.759645957638e+02 
       5.109916352970e-01       2.728124611994e+02 
       5.137383191325e-01       2.696942697225e+02 
       5.164850030803e-01       2.666205126153e+02 
       5.192316871386e-01       2.635860438174e+02 
       5.219783713058e-01       2.605959889226e+02 
       5.247250555800e-01       2.576458557599e+02 
       5.274717399596e-01       2.547410965009e+02 
       5.302184244430e-01       2.518840157364e+02 
       5.329651090286e-01       2.490667747679e+02 
       5.357117937147e-01       2.462976577862e+02 
       5.384584784999e-01       2.435748013978e+02 
       5.412051633826e-01       2.409019073560e+02 
       5.439518483613e-01       2.382747535206e+02 
       5.466985334347e-01       2.356974367610e+02 
       5.494452186012e-01       2.331599772804e+02 
       5.521919038595e-01       2.306646555186e+02 
       5.549385892082e-01       2.282084585278e+02 
       5.576852746459e-01       2.257852604882e+02 
       5.604319601715e-01       2.233992903638e+02 
       5.631786457835e-01       2.210485664827e+02 
       5.659253314807e-01       2.187331056040e+02 
       5.686720172619e-01       2.164473133202e+02 
       5.714187031258e-01       2.141937107615e+02 
       5.741653890714e-01       2.119702028480e+02 
       5.769120750973e-01       2.097701827030e+02 
       5.796587612025e-01       2.075976239062e+02 
       5.824054473858e-01       2.054584365057e+02 
       5.851521336461e-01       2.033523109933e+02 
       5.878988199824e-01       2.012753307261e+02 
       5.906455063936e-01       1.992267222109e+02 
       5.933921928786e-01       1.972078080986e+02 
       5.961388794364e-01       1.952194429267e+02 
       5.988855660660e-01       1.932597311791e+02 
       6.016322527665e-01       1.913288100027e+02 
       6.043789395368e-01       1.894253160753e+02 
       6.071256263761e-01       1.875515139399e+02 
       6.098723132833e-01       1.857065352096e+02 
       6.126190002576e-01       1.838834641303e+02 
       6.153656872980e-01       1.820903442503e+02 
       6.181123744038e-01       1.803169815933e+02 
       6.208590615739e-01       1.785691101745e+02 
       6.236057488076e-01       1.768409187605e+02 
       6.263524361040e-01       1.751393364694e+02 
       6.290991234623e-01       1.734588272525e+02 
       6.318458108817e-01       1.718007911178e+02 
       6.345924983614e-01       1.701637694599e+02 
       6.373391859006e-01       1.685474465382e+02 
       6.400858734985e-01       1.669500265601e+02 
       6.428325611544e-01       1.653731845084e+02 
       6.455792488676e-01       1.638176411985e+02 
       6.483259366373e-01       1.622831558394e+02 
       6.510726244628e-01       1.607699768556e+02 
       6.538193123433e-01       1.592760063766e+02 
       6.565660002783e-01       1.578035353379e+02 
       6.593126882670e-01       1.563476500972e+02 
