# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       6.157778649053e-10       1.520827276720e-13      -6.556070784403e-12       7.607262906302e-16       4.054423961528e-12       7.020334120506e-13      -4.635769491009e-15 
  139       6.204771734923e-10       1.508226404677e-13      -6.540980302457e-12       7.726116014606e-16       3.972876258692e-12       6.909844711671e-13      -4.540519716730e-15 
  140       6.251271493338e-10       1.494919961909e-13      -6.521376156893e-12       7.846149548287e-16       3.893529029609e-12       6.801923866842e-13      -4.446039205876e-15 
  141       6.297255281087e-10       1.480936364838e-13      -6.497216656743e-12       7.967366897800e-16       3.816258298928e-12       6.696510454149e-13      -4.352592875865e-15 
  142       6.342699762596e-10       1.466306006082e-13      -6.468463371524e-12       8.089771240713e-16       3.740924906183e-12       6.593529098385e-13      -4.260454470320e-15 
  143       6.387580896883e-10       1.451061287825e-13      -6.435081210347e-12       8.213365536462e-16       3.667374176219e-12       6.492889845220e-13      -4.169906661372e-15 
  144       6.431875557874e-10       1.435235697672e-13      -6.397038060482e-12       8.338152140269e-16       3.595468282553e-12       6.394506212665e-13      -4.081181842186e-15 
  145       6.475566602945e-10       1.418860863073e-13      -6.354303495854e-12       8.464131613056e-16       3.525187629213e-12       6.298352060059e-13      -3.994277709977e-15 
  146       6.518638281591e-10       1.401969268593e-13      -6.306850091022e-12       8.591303783694e-16       3.456538883798e-12       6.204409713393e-13      -3.909123611783e-15 
  147       6.561074643292e-10       1.384595214969e-13      -6.254653926207e-12       8.719668111938e-16       3.389523041586e-12       6.112651853423e-13      -3.825637985233e-15 
  148       6.602859533849e-10       1.366774846985e-13      -6.197694663872e-12       8.849223680994e-16       3.324135283832e-12       6.023041285566e-13      -3.743728119990e-15 
  149       6.643976591723e-10       1.348546181336e-13      -6.135955625310e-12       8.979969190094e-16       3.260364836086e-12       5.935530709784e-13      -3.663289919190e-15 
  150       6.684409244370e-10       1.329949134496e-13      -6.069423867224e-12       9.111902947055e-16       3.198194826493e-12       5.850062490476e-13      -3.584207660889e-15 
  151       6.724140704578e-10       1.311025550591e-13      -5.998090258311e-12       9.245022860855e-16       3.137602144105e-12       5.766568426368e-13      -3.506353759503e-15 
